STL,English,Type
"always [0:452] (Z q H _ >= 95.42)","The value of signal Z q H _ shall be at least 95.42 uninterruptedly for every moment within 452 time units.","invariance_reachability"
"always [0:9.1] (a x G n Y 7 >= 1.84)","For each time instant in the first 9.1 time units, uninterruptedly the a x G n Y 7 signal needs to be no less than 1.84.","invariance_reachability"
"always [0:3.56] (Q T 4 6 >= 1625)","Without interruption Q T 4 6 must be no less than 1625 for every time point within 3.56 time units.","invariance_reachability"
"always ( rise (w g t Y == o N D D B g B) -> eventually [98:99] (always [0:98] (P 8 == 98)) )","Everytime when the transition action that the w g t Y signal enters o N D D B g B happens then all of the following conditions are true: eventually there must exist a certain time point within the next 98 to 99 time units, after which P 8 ought to be 98 and consistently this scenario has to continue for every time point within the subsequent 98 time units.","stabilization_recurrence"
"always ( rise (v 3 _ == _ P q) -> eventually [67:84] (always [0:478] (Q 9 t a E s b == 1)) )","Globally, everytime when the scenario that the v 3 _ signal becomes _ P q gets detected then in response finally after a certain time point in the coming 67 to 84 time units, the Q 9 t a E s b signal ought to be 1 and this scenario should always continue for every moment in the subsequent 478 time units.","stabilization_recurrence"
"always ( rise (E 0 v == Y v) -> eventually [6:8] (always [0:696] (W Y d k C 5 M 9 f == 0)) )","Globally, if the scenario that E 0 v changes to Y v happens, then all of the following conditions are true: at a certain moment after between 6 to 8 time units the value of signal W Y d k C 5 M 9 f shall be equal to 0 and this scenario should keep uninterruptedly for each moment within the subsequent 696 time units.","stabilization_recurrence"
"always ( rise (W 3 o == d 0 f E a _ M X s n) -> eventually [15:86] (always [0:7] (f z Y D z 9 z z D 4 == 483)) )","It is always the case that everytime when the scenario that the state of signal W 3 o enters d 0 f E a _ M X s n occurs then the following condition holds: after a certain moment within the first 15 to 86 time units for each time point during the subsequent 7 time units, the value of f z Y D z 9 z z D 4 should be set to 483 without interruption.","stabilization_recurrence"
"always ( rise (N Q == o 2 r) -> eventually [1777.64:2563.64] (always [0:8] (u P z 5 F f g Q O C == 7)) )","It is always the case that whenever the mode of N Q enters o 2 r, then all of the following conditions are true: ultimately there ought to be a certain time point in the subsequent 1777.64 to 2563.64 time units, after which u P z 5 F f g Q O C shall stay at 7 consecutively for each time point during the coming 8 time units.","stabilization_recurrence"
"always ( rise (v r v > 4.23 and v r v < 4.49) -> W g b == 2.37 )","Globally, when the event that v r v enters the region (4.23, 4.49) gets detected then the following condition holds: the W g b signal should be equal to 2.37 starting without any delay.","immediate_response"
"always ( rise (J > 2240 and J < 2609) -> b v w == 2 )","It is always the case that when the event that the value of J settles inside the bound (2240, 2609) gets detected, then all of the following conditions hold: instantly the value of signal b v w ought to be equal to 2.","immediate_response"
"always ( rise (N s 3 y q > 1787 and N s 3 y q < 2948) -> Q S == 38 )","It is always the case that when the transition action that N s 3 y q enters the region (1787, 2948) occurs then all of the following conditions hold: Q S has to be simultaneously equal to 38.","immediate_response"
"always ( rise (r b a 0 u r Q U n > 2.52 and r b a 0 u r Q U n < 6.7) -> E D i n K P w A == 36 )","It is always the case that whenever the transition action that r b a 0 u r Q U n enters the region (2.52, 6.7) occurs then all of the following conditions are true: at the same time point the value of signal E D i n K P w A is 36.","immediate_response"
"always ( rise (M o p H Y g X > 2 and M o p H Y g X < 10) -> t X y v m y 4 == 1344 )","When the event that the value of signal M o p H Y g X enters the bound (2, 10) is observed, then all of the following conditions are true: t X y v m y 4 needs to equal to 1344 at the same moment.","immediate_response"
"always [5:6] (N j >= 1305)","For each time instant during the first 5 to 6 time units, N j should continuously remain greater than or equal to 1305.","invariance_reachability"
"always [50:59] (L e E D T L p 8 g H >= 54)","Consecutively the value of L e E D T L p 8 g H needs to remain greater than or equal to 54 between 50 to 59 time units.","invariance_reachability"
"always [1633:2615] (N Z x w m A >= 6)","For each time point within the first 1633 to 2615 time units the N Z x w m A signal will consistently remain greater than or equal to 6.","invariance_reachability"
"always [34:66] (M j g Q r B >= 9)","For each moment within the first 34 to 66 time units, consistently the value of signal M j g Q r B will have to stay no less than 9.","invariance_reachability"
"always [1:8] (u 3 >= 9)","Consecutively the u 3 signal will be keeping greater than or equal to 9 for each moment in the first 1 to 8 time units.","invariance_reachability"
"always (e l B == 2961 and not rise (R e H 2 O i d == x h))","In the future until the end of the execution the e l B signal needs to stay at 2961 consistently, and uninterruptedly the scenario that the mode of signal R e H 2 O i d is changed to x h is not observed.","invariance_reachability"
"always (L C R h 7 J q == 29 and not rise (x c f m m F T F 9 == o B e M k h G T))","In the future till the end of the simulation the L C R h 7 J q signal should be consistently equal to 29, and uninterruptedly the transition action that the mode of signal x c f m m F T F 9 becomes o B e M k h G T mustn't be observed.","invariance_reachability"
"always (R 9 X F A M a e k z == 5.93 and not rise (B I l N G M e V J == P a Q Q g d))","In the future before the end of the execution the R 9 X F A M a e k z signal ought to be set to 5.93 continuously, and consistently the transition action that B I l N G M e V J is changed to P a Q Q g d shall not be detected.","invariance_reachability"
"always (Y == 60 and not rise (M l == F s N))","In the future till the end of the simulation, the Y signal has to continuously stay at 60, and uninterruptedly the event that the M l signal is shifted to F s N oughtn't to occur.","invariance_reachability"
"always (N x V h B Y D c == 3 and not rise (p 3 O == _ b S J P w z m W v))","In the future before the execution ends the value of signal N x V h B Y D c ought to consecutively equal to 3, and continuously the scenario that the mode of signal p 3 O gets changed to _ b S J P w z m W v must never be observed.","invariance_reachability"
"always [0:2842] (B == U E t 3 O O k O F 2)","The state of B should uninterruptedly keep in U E t 3 O O k O F 2 during the first 2842 time units.","invariance_reachability"
"always [0:375] (f x J == l e T w T 3 V)","For at least 375 time units the mode of f x J will have to uninterruptedly keep in l e T w T 3 V.","invariance_reachability"
"always [0:2434.41] (j o 8 Q U 4 K == z)","For every time point within 2434.41 time units the mode of signal j o 8 Q U 4 K will be staying in z all the time.","invariance_reachability"
"always [0:10] (B t == F 9 v v S w B)","For each moment within 10 time units the mode of B t should be in F 9 v v S w B uninterruptedly.","invariance_reachability"
"always [0:2220] (f J J D f G 1 == D 0 I 9 L 2 w 2 0 6)","For every moment during the first 2220 time units, the f J J D f G 1 signal needs to remain in D 0 I 9 L 2 w 2 0 6 continuously.","invariance_reachability"
"always ( (j I J f 3 >= 1 and j I J f 3 <= 9) since [0:5.3] (h P l o X N r 1 C <= 1277) -> not (eventually [0:5] (Z _ u 1 6 l 8 I p X > 5.62 and Z _ u 1 6 l 8 I p X < 9.57)) )","Globally, if consecutively j I J f 3 has been staying at least 1 and less than or equal to 9 since the value of signal h P l o X N r 1 C was once no larger than 1277, which was observed at a certain time point within the past 5.3 time units then the following condition will not be true: there will be ultimately a certain moment in the next 5 time units, at which the Z _ u 1 6 l 8 I p X signal is bigger than 5.62 and smaller than 9.57.","temporal_response"
"always ( (U _ M p v o 4 0 s y >= 18 and U _ M p v o 4 0 s y <= 81) since [0:3] (H W <= 3.72) -> not (eventually [0:2.93] (A > 54 and A < 90)) )","Globally, when the value of U _ M p v o 4 0 s y is greater than or equal to 18 and less than or equal to 81 and has kept like this without interruption since there is a certain time instant during the last 3 time units, at which H W is at most 3.72 then the condition that the value of A will be ultimately greater than 54 and less than 90 at a certain time point during the subsequent 2.93 time units won't be true.","temporal_response"
"always ( (C r O r V G H H V L >= 86 and C r O r V G H H V L <= 92) since [0:6] (C z L v 9 W N k f 5 <= 8.5) -> not (eventually [0:24] (v l > 2163 and v l < 2595)) )","It is always the case that if C r O r V G H H V L remained no less than 86 and less than or equal to 92 without interruption since once the value of signal C z L v 9 W N k f 5 was less than or equal to 8.5, which was observed at a certain time point within the past 6 time units then there doesn't exist any time instant during the following 24 time units, at which the v l signal will be more than 2163 and below 2595.","temporal_response"
"always ( (f a c W n y 6 Z C B >= 2 and f a c W n y 6 Z C B <= 5) since [0:88] (Q l 9 f T V S H I <= 23) -> not (eventually [0:39] (_ V P q 0 a > 7 and _ V P q 0 a < 10)) )","It is always the case that whenever the value of f a c W n y 6 Z C B is greater than or equal to 2 and less than or equal to 5 and has kept like this without interruption since there is a certain time instant during the last 88 time units, at which Q l 9 f T V S H I is at most 23, then in response there shall not exist anytime in less than 39 time units, at which the value of signal _ V P q 0 a is within (7, 10).","temporal_response"
"always ( (z 2 >= 1809 and z 2 <= 1830) since [0:87] (Q l 7 h B i Z j S H <= 2430.38) -> not (eventually [0:16] (u u > 8.8 and u u < 9.3)) )","When the value of signal z 2 is no less than 1809 and less than or equal to 1830 without interruption since the value of Q l 7 h B i Z j S H was less than or equal to 2430.38, which was detected at a certain time instant before at most 87 time units once then in response for any time instant within the following 16 time units, u u ought never to be bigger than 8.8 and below 9.3.","temporal_response"
"always [0:52] (not (R U X 0 P j == 766.76))","For every moment within the first 52 time units consecutively R U X 0 P j is never equal to 766.76.","invariance_reachability"
"always [0:8] (not (N s D N O == 6))","For each moment in the first 8 time units the N s D N O signal ought never to be 6.","invariance_reachability"
"always [0:63] (not (X 9 j m b x x == 10))","For each moment within 63 time units, the X 9 j m b x x signal ought never to settle to 10.","invariance_reachability"
"always [0:45.1] (not (M W y == 6))","For every time point in the first 45.1 time units, M W y shall always not be equal to 6.","invariance_reachability"
"always [0:8] (not (Z J g p U R d U 5 == 8))","Consistently the Z J g p U R d U 5 signal is never set to 8 for every time point within 8 time units.","invariance_reachability"
"always ( eventually [7:9] (n v E f == 1.17) -> always (not (p P X i s M V T <= 4)) )","Everytime when the n v E f signal is ultimately set to 1.17 at a certain moment starting between 7 to 9 time units then without interruption the value of signal p P X i s M V T ought never to be at most 4 in the future before the end of the simulation.","temporal_response"
"always ( eventually [2223:2619] (i 1 Z == 0.73) -> always (not (E D c c Z w <= 68.4)) )","Globally, whenever there will exist a time in the coming 2223 to 2619 time units, at which ultimately the i 1 Z signal will be 0.73, then the following condition holds: E D c c Z w must not be less than or equal to 68.4 and this condition must uninterruptedly continue in the future before the end of the simulation.","temporal_response"
"always ( eventually [65.66:90.33] (g H E P o 5 x k Y H == 38.5) -> always (not (y l <= 79)) )","It is always the case that if at a certain time point in the following 65.66 to 90.33 time units g H E P o 5 x k Y H is 38.5 ultimately then the following condition is true: the y l signal is uninterruptedly not no larger than 79 in the future until the execution ends.","temporal_response"
"always ( eventually [8:9] (x == 0.3) -> always (not (Z P j b c C _ <= 8)) )","It is always the case that in case that there will be a certain moment in the next 8 to 9 time units, at which eventually x is 0.3, then in response in the future till the simulation ends, without interruption the value of signal Z P j b c C _ mustn't be less than or equal to 8.","temporal_response"
"always ( eventually [10:90] (_ f v == 6) -> always (not (C z p 0 9 V D A 5 <= 49)) )","It is always the case that when the value of _ f v will be finally 6 at sometime within the coming 10 to 90 time units then the following condition is true: in the future before the end of the simulation, consistently the value of C z p 0 9 V D A 5 shan't be less than or equal to 49.","temporal_response"
"always ( rise (Z _ o O M d U u i == 3) -> z I > 92 )","Everytime when the transition action that Z _ o O M d U u i gets set to 3 is observed then the following condition holds: the z I signal should be above 92 at the same time point.","immediate_response"
"always ( rise (i 1 N x B t == 10) -> l u 1 Q _ > 7.1 )","In the case the event that the value of i 1 N x B t is shifted to 10 gets observed then the following condition holds: promptly the l u 1 Q _ signal will have to be higher than 7.1.","immediate_response"
"always ( rise (O 4 j G g T w == 2815) -> F > 94 )","It is always the case that if the scenario that O 4 j G g T w is shifted to 2815 happens, then all of the following conditions hold: without any delay the value of signal F needs to be above 94.","immediate_response"
"always ( rise (f q k y U == 99.95) -> t t g > 6 )","It is always the case that in case that the transition action that f q k y U gets changed to 99.95 occurs, then in response the value of signal t t g must be greater than 6 starting without any delay.","immediate_response"
"always ( rise (A L k Y o p I R L == 1860) -> B > 6.15 )","It is always the case that when the scenario that the value of A L k Y o p I R L shifts to 1860 gets detected then all of the following conditions hold: the B signal will be instantly greater than 6.15.","immediate_response"
"always ( rise (v 9 l j p o 2 Q f 9 == 60) -> w <= 2 )","Globally, everytime when the transition action that the v 9 l j p o 2 Q f 9 signal shifts to 60 gets observed then the following condition is true: the value of signal w ought to be less than or equal to 2 without any delay.","immediate_response"
"always ( rise (K == 5) -> d D C u Z W p 7 <= 92 )","It is always the case that in case that the transition action that K changes to 5 takes place then in response at the same time d D C u Z W p 7 will have to be less than or equal to 92.","immediate_response"
"always ( rise (c f 9 == 2) -> e i y f <= 5 )","It is always the case that when the scenario that the c f 9 signal is shifted to 2 is detected, then in response in no time the value of e i y f will be less than or equal to 5.","immediate_response"
"always ( rise (h i B o v u == 7) -> B Y A 9 F D <= 3 )","On condition that the transition action that h i B o v u becomes equal to 7 occurs, then B Y A 9 F D shall be less than or equal to 3 immediately.","immediate_response"
"always ( rise (w e K 4 == 5.3) -> f V k F x 6 o B I <= 94 )","Whenever the event that the value of w e K 4 gets shifted to 5.3 happens then all of the following conditions hold: the value of f V k F x 6 o B I shall be at most 94 instantly.","immediate_response"
"always ( rise (q Y <= 2) -> rise (w n Q p x E a B U v < 1395.8) or (y t h q > 0 and y t h q < 10) )","Globally, whenever the event that the q Y signal decreases to less than or equal to 2 takes place, then the following condition is true: in no time the event that w n Q p x E a B U v goes below 1395.8 shall occur or the value of signal y t h q ought to be above 0 and below 10 in no time.","immediate_response"
"always ( rise (n p a g w 3 X L l <= 89) -> rise (O X h Q k 0 y 2 Q < 0) or (t V L R > 6.64 and t V L R < 6.75) )","If the event that the value of n p a g w 3 X L l drops to less than or equal to 89 occurs then the following condition is true: in no time the transition action that the value of signal O X h Q k 0 y 2 Q decreases below 0 should get observed or the value of signal t V L R ought to be between 6.64 (open) and 6.75 (open) starting without any delay.","immediate_response"
"always ( rise (f a _ 6 <= 129) -> rise (l 8 m 8 r m < 249.29) or (M > 7 and M < 8) )","It is always the case that when the event that the value of signal f a _ 6 falls to less than or equal to 129 is detected, then the scenario that the l 8 m 8 r m signal gets less than 249.29 shall immediately take place, or instantly the M signal is higher than 7 and less than 8.","immediate_response"
"always ( rise (A j c N 9 F P t r U <= 328) -> rise (G 7 K g < 49) or (L > 9.01 and L < 57.16) )","When the transition action that the A j c N 9 F P t r U signal falls to less than or equal to 328 happens then the following condition is true: simultaneously the event that the G 7 K g signal becomes lower than 49 needs to be detected, or the value of signal L will have to be larger than 9.01 and less than 57.16 right away.","immediate_response"
"always ( rise (h A R y s <= 203.8) -> rise (k U d < 37) or (y k 1 3 G t o > 2514 and y k 1 3 G t o < 2751) )","Whenever the scenario that the value of h A R y s falls to less than or equal to 203.8 gets detected, then in response at the same time point the event that the value of k U d goes below 37 has to take place or y k 1 3 G t o will have to be above 2514 and less than 2751 immediately.","immediate_response"
"always ( C Y W C _ H L > 2270.26 or W _ 2 == g d E h Y 7 6 -> fall ((x d A d < 4) until [7:10] (rise (H X l > 60 and H X l < 81))) )","Globally, if C Y W C _ H L is higher than 2270.26 or the mode of W _ 2 is in g d E h Y 7 6, then in response the condition that the value of signal x d A d will remain less than 4 continuously till the value of H X l enters the region (60, 81) finally at a certain time point during the first 7 to 10 time units should be detected to shift from true to false.","temporal_response"
"always ( Z _ j N n S > 5.47 or _ _ v V j J == b W _ V 6 n m -> fall ((Q M z < 7) until [69:72] (rise (P r B S y > 91 and P r B S y < 96))) )","In the case the value of signal Z _ j N n S is larger than 5.47, or the mode of _ _ v V j J is in b W _ V 6 n m, then in response the condition that consistently the value of Q M z remains smaller than 7 until eventually P r B S y enters the range (91, 96) at sometime during the first 69 to 72 time units must be detected to shift from true to false.","temporal_response"
"always ( V y p > 6.6 or f u a Z == s N 6 U J M -> fall ((W D X U u 8 G M < 5) until [37:97] (rise (y g l Q T m k X > 4.4 and y g l Q T m k X < 5.5))) )","In the event that the value of V y p is higher than 6.6 or the mode of signal f u a Z is set to s N 6 U J M then the following condition must be detected to change from true to false: there will be sometime within the subsequent 37 to 97 time units eventually, at which the scenario that y g l Q T m k X enters the bound (4.4, 5.5) occurs, till then the value of W D X U u 8 G M will keep less than 5 consecutively.","temporal_response"
"always ( T L > 9.9 or c R f Y O == R 3 7 H D -> fall ((u s < 74) until [5.99:6.75] (rise (N > 2 and N < 9))) )","It is always the case that when the value of signal T L is over 9.9 or the mode of c R f Y O is in R 3 7 H D, then the following condition shall change from true to false: u s is smaller than 74 and then consistently this scenario remains until the value of N gets into the range (2, 9) finally, which will be observed at a certain moment starting between 5.99 to 6.75 time units.","temporal_response"
"always ( o a V > 67 or A x 7 m == p Q -> fall ((n G x 1 k z l 9 j K < 2335) until [80:83] (rise (M h > 5 and M h < 10))) )","On condition that o a V is more than 67 or the mode of signal A x 7 m is set to p Q, then the subsequent condition must be observed to change from true to false: n G x 1 k z l 9 j K is smaller than 2335 and will be consistently staying like that until the value of M h finally enters the bound (5, 10), which will happen at a time within the first 80 to 83 time units.","temporal_response"
"always ( N D 9 w z B U B N >= 2 and rise (i B T W x 1 L A M > 34.44 and i B T W x 1 L A M < 92.78) -> eventually (always [3:60] (y Y W w c <= 44)) )","Globally, in case that the value of N D 9 w z B U B N keeps at least 2 and the transition action that the value of signal i B T W x 1 L A M enters the range (34.44, 92.78) is detected, then all of the following conditions are true: there must be ultimately sometime in the future before the end of the execution, at which for each time point within the subsequent 3 to 60 time units the value of y Y W w c ought to uninterruptedly stay less than or equal to 44.","stabilization_recurrence"
"always ( I c 9 >= 1.5 and rise (V n j H q > 7 and V n j H q < 8) -> eventually (always [25:69] (N h <= 93.98)) )","In the case the I c 9 signal is greater than or equal to 1.5 and the transition action that V n j H q gets into the range (7, 8) happens, then the following condition is true: finally after a time in the future before the simulation ends, for each time instant in the following 25 to 69 time units the value of signal N h shall continuously remain less than or equal to 93.98.","stabilization_recurrence"
"always ( J >= 52.73 and rise (P a Q V > 909 and P a Q V < 2417) -> eventually (always [58:68] (B o <= 3)) )","It is always the case that when the value of signal J remains no less than 52.73 and the scenario that the P a Q V signal gets into the range (909, 2417) takes place, then the following condition holds: after a time in the future B o must be less than or equal to 3 and then consistently remain in this range for every moment within 58 to 68 time units.","stabilization_recurrence"
"always ( Y 4 D Z V Q 9 >= 1 and rise (J t o w h W n > 2935.5 and J t o w h W n < 2981.9) -> eventually (always [1963:2980] (K C H Z <= 63.77)) )","On condition that the value of Y 4 D Z V Q 9 stays greater than or equal to 1, and the scenario that the value of J t o w h W n gets into the range (2935.5, 2981.9) is detected, then all of the following conditions are true: there should exist sometime in the future before the simulation ends finally, at which the value of signal K C H Z shall continuously remain less than or equal to 63.77 for each time instant in the following 1963 to 2980 time units.","stabilization_recurrence"
"always ( J >= 4.48 and rise (z > 2.21 and z < 6.72) -> eventually (always [6:9] (Z a b <= 4.75)) )","When the value of J stays greater than or equal to 4.48 and the scenario that the value of z enters the bound (2.21, 6.72) happens, then finally after a certain time instant in the future before the end of the simulation, for each moment in the next 6 to 9 time units uninterruptedly Z a b will be remaining less than or equal to 4.75.","stabilization_recurrence"
"always ( fall (q c d j y U z d > 6.4 and q c d j y U z d < 9.6) and F o b H x 7 J n E > 0 -> eventually [0:43] (always [0:53] (u i O W G >= 4 and u i O W G <= 7)) )","As soon as the event that the value of signal q c d j y U z d leaves the range (6.4, 9.6) gets observed and the value of signal F o b H x 7 J n E is over 0 then all of the following conditions hold: after a time in the subsequent 43 time units, the value of signal u i O W G has to always remain at least 4 and at most 7 for every time instant within the coming 53 time units.","stabilization_recurrence"
"always ( fall (a l D u z > 6.7 and a l D u z < 48.5) and g q C x _ f 5 > 43 -> eventually [0:5] (always [0:5] (y X y >= 2788.83 and y X y <= 2994.88)) )","If the scenario that a l D u z goes out of the bound (6.7, 48.5) takes place and the value of g q C x _ f 5 keeps more than 43, then after a certain moment in the first 5 time units for the next 5 time units, consecutively the y X y signal will have to remain within the range [2788.83, 2994.88].","stabilization_recurrence"
"always ( fall (U G 1 k 0 m R _ 9 W > 18 and U G 1 k 0 m R _ 9 W < 81) and F > 9 -> eventually [0:8] (always [0:2.45] (k p U L a w S U >= 2380 and k p U L a w S U <= 2947)) )","It is always the case that when the event that the value of signal U G 1 k 0 m R _ 9 W leaves the range (18, 81) takes place, and the value of signal F keeps larger than 9 then the following condition holds: there has to be a certain time point starting at most 8 time units ultimately, after which the value of signal k p U L a w S U will be greater than or equal to 2380 and less than or equal to 2947 and has to continue like that consistently for each moment during the next 2.45 time units.","stabilization_recurrence"
"always ( fall (p l d Z n q B > 23 and p l d Z n q B < 31) and _ I J E b e D e > 7 -> eventually [0:66] (always [0:394] (A y t G p g >= 3 and A y t G p g <= 97)) )","It is always the case that whenever the value of signal p l d Z n q B goes out of the bound (23, 31) and the value of _ I J E b e D e remains larger than 7 then the following condition holds: ultimately there shall be a certain time instant starting at most 66 time units, after which for each time point within the following 394 time units, the value of signal A y t G p g ought to continuously keep no less than 3 and at most 97.","stabilization_recurrence"
"always ( fall (r S n n 4 G B S u b > 2044 and r S n n 4 G B S u b < 2391) and l J a H E 9 g Y > 5.7 -> eventually [0:46] (always [0:8] (U _ d T x 6 >= 2 and U _ d T x 6 <= 4)) )","Whenever the transition action that the value of signal r S n n 4 G B S u b goes out of the bound (2044, 2391) occurs, and the l J a H E 9 g Y signal remains larger than 5.7, then in response after a time in the subsequent 46 time units, the value of signal U _ d T x 6 shall be in the interval [2, 4] and then always remains like this for every moment in the following 8 time units.","stabilization_recurrence"
"always ( rise (Z p l o B >= 4) -> eventually [1:10] (always [60:92] (g A > 39.85 and g A < 81.45)) )","Globally, everytime when the transition action that Z p l o B goes to greater than or equal to 4 is detected then all of the following conditions hold: eventually at a certain time point during the next 1 to 10 time units g A will be higher than 39.85 and below 81.45 and this scenario will have to consecutively hold within the next 60 to 92 time units.","stabilization_recurrence"
"always ( rise (J >= 448) -> eventually [2354:2367] (always [2633:2819] (M W > 2 and M W < 5)) )","Globally, if the scenario that the J signal goes to at least 448 occurs, then all of the following conditions hold: ultimately at sometime during the coming 2354 to 2367 time units the value of M W ought to remain larger than 2 and smaller than 5 uninterruptedly for every time instant in the coming 2633 to 2819 time units.","stabilization_recurrence"
"always ( rise (w >= 93.32) -> eventually [1353:1670] (always [1322:2881] (X U n t P > 1 and X U n t P < 9)) )","Globally, if the transition action that the w signal gets to at least 93.32 is observed, then the following condition is true: eventually there shall exist sometime within 1353 to 1670 time units, after which the value of X U n t P needs to remain larger than 1 and lower than 9 without interruption within 1322 to 2881 time units.","stabilization_recurrence"
"always ( rise (i X p U x E I 7 >= 80) -> eventually [6:9] (always [83.0:93.3] (F p v 5 z H T H u B > 99.22 and F p v 5 z H T H u B < 99.73)) )","It is always the case that when i X p U x E I 7 becomes greater than or equal to 80, then finally at a certain time instant during the coming 6 to 9 time units F p v 5 z H T H u B will be higher than 99.22 and less than 99.73 for every time instant in the next 83.0 to 93.3 time units.","stabilization_recurrence"
"always ( rise (h m C B 7 A M _ >= 2) -> eventually [820:2651] (always [6:10] (O P O 5 8 Q F > 1401 and O P O 5 8 Q F < 1609)) )","When h m C B 7 A M _ jumps to greater than or equal to 2 then finally at a time in the next 820 to 2651 time units, O P O 5 8 Q F must remain larger than 1401 and lower than 1609 consistently for every time instant during the following 6 to 10 time units.","stabilization_recurrence"
"always ( o _ > 7 and o _ < 23 -> a _ R y >= 1 )","In the case the value of o _ is higher than 7 and less than 23, then all of the following conditions are true: a _ R y needs to be greater than or equal to 1 simultaneously.","immediate_response"
"always ( y 3 p C H i c P > 5 and y 3 p C H i c P < 9 -> s T A 7 v >= 2533 )","As soon as the value of y 3 p C H i c P is higher than 5 and less than 9 then all of the following conditions are true: without any delay the value of signal s T A 7 v will be greater than or equal to 2533.","immediate_response"
"always ( L 6 5 > 2553 and L 6 5 < 2757 -> W b S H O 7 8 Z V Q >= 14 )","It is always the case that whenever the value of L 6 5 is higher than 2553 and less than 2757, then the following condition is true: the W b S H O 7 8 Z V Q signal ought to be greater than or equal to 14 at the same moment.","immediate_response"
"always ( H J i I F _ m g 6 > 5 and H J i I F _ m g 6 < 10 -> o L 6 T M K 0 g Y >= 62 )","Globally, in case that the value of H J i I F _ m g 6 is higher than 5 and less than 10 then all of the following conditions are true: the value of o L 6 T M K 0 g Y must be at least 62 without any delay.","immediate_response"
